Case qj == j - 2: k=1, m=0, j=5, yk=3.0, qj=3, binStr=0111: 0.0
Case qj == j - 2: k=30, m=3, j=8, yk=1.152921504606847e+18, qj=6, binStr=110111: 6326043921025223.0
Case qj == j - 2: k=30, m=4, j=8, yk=1.152921504606847e+18, qj=6, binStr=101111: 6326043921025223.0
Case qj == j - 2: k=30, m=5, j=8, yk=1.152921504606847e+18, qj=6, binStr=011111: 6326043921025223.0
Case qj == j - 2: k=30, m=5, j=9, yk=1.152921504606847e+18, qj=7, binStr=1011111: 2108681307008407.0
Case qj == j - 2: k=30, m=6, j=9, yk=1.152921504606847e+18, qj=7, binStr=0111111: 2108681307008407.0
Case qj == j - 2: k=30, m=4, j=10, yk=1.152921504606847e+18, qj=8, binStr=11101111: 702893769002802.0
Case qj == j - 2: k=30, m=5, j=10, yk=1.152921504606847e+18, qj=8, binStr=11011111: 702893769002802.0
Case qj == j - 2: k=31, m=0, j=5, yk=4.611686018427388e+18, qj=3, binStr=0111: 6.832127434707241e+17
Case qj == j - 2: k=31, m=1, j=5, yk=4.611686018427388e+18, qj=3, binStr=101: 6.832127434707241e+17
Case qj == j - 2: k=31, m=2, j=5, yk=4.611686018427388e+18, qj=3, binStr=011: 6.832127434707241e+17
Case qj == j - 2: k=31, m=0, j=6, yk=4.611686018427388e+18, qj=4, binStr=01111: 2.2773758115690803e+17
Case qj == j - 2: k=31, m=1, j=6, yk=4.611686018427388e+18, qj=4, binStr=1101: 2.2773758115690803e+17
Case qj == j - 2: k=31, m=2, j=6, yk=4.611686018427388e+18, qj=4, binStr=1011: 2.2773758115690803e+17
Case qj == j - 2: k=31, m=3, j=6, yk=4.611686018427388e+18, qj=4, binStr=0111: 2.2773758115690803e+17
Case qj == j - 2: k=31, m=0, j=7, yk=4.611686018427388e+18, qj=5, binStr=011111: 7.591252705230269e+16
Case qj == j - 2: k=31, m=1, j=7, yk=4.611686018427388e+18, qj=5, binStr=11101: 7.591252705230269e+16
Case qj == j - 2: k=31, m=2, j=7, yk=4.611686018427388e+18, qj=5, binStr=11011: 7.591252705230269e+16
Case qj == j - 2: k=31, m=3, j=7, yk=4.611686018427388e+18, qj=5, binStr=10111: 7.591252705230269e+16
Case qj == j - 2: k=31, m=4, j=7, yk=4.611686018427388e+18, qj=5, binStr=01111: 7.591252705230269e+16
Case qj == j - 2: k=31, m=0, j=8, yk=4.611686018427388e+18, qj=6, binStr=0111111: 2.5304175684100892e+16
Case qj == j - 2: k=31, m=1, j=8, yk=4.611686018427388e+18, qj=6, binStr=111101: 2.5304175684100892e+16
Case qj == j - 2: k=31, m=2, j=8, yk=4.611686018427388e+18, qj=6, binStr=111011: 2.5304175684100892e+16
Case qj == j - 2: k=31, m=3, j=8, yk=4.611686018427388e+18, qj=6, binStr=110111: 2.5304175684100892e+16
Case qj == j - 2: k=31, m=4, j=8, yk=4.611686018427388e+18, qj=6, binStr=101111: 2.5304175684100892e+16
Case qj == j - 2: k=31, m=5, j=8, yk=4.611686018427388e+18, qj=6, binStr=011111: 2.5304175684100892e+16
Case qj == j - 2: k=31, m=0, j=9, yk=4.611686018427388e+18, qj=7, binStr=01111111: 8434725228033630.0
Case qj == j - 2: k=31, m=1, j=9, yk=4.611686018427388e+18, qj=7, binStr=1111101: 8434725228033630.0
Case qj == j - 2: k=31, m=2, j=9, yk=4.611686018427388e+18, qj=7, binStr=1111011: 8434725228033630.0
Case qj == j - 2: k=31, m=3, j=9, yk=4.611686018427388e+18, qj=7, binStr=1110111: 8434725228033630.0
Case qj == j - 2: k=31, m=4, j=9, yk=4.611686018427388e+18, qj=7, binStr=1101111: 8434725228033630.0
Case qj == j - 2: k=31, m=5, j=9, yk=4.611686018427388e+18, qj=7, binStr=1011111: 8434725228033630.0
Case qj == j - 2: k=31, m=6, j=9, yk=4.611686018427388e+18, qj=7, binStr=0111111: 8434725228033630.0
Case qj == j - 2: k=31, m=0, j=10, yk=4.611686018427388e+18, qj=8, binStr=011111111: 2811575076011210.0
Case qj == j - 2: k=31, m=1, j=10, yk=4.611686018427388e+18, qj=8, binStr=11111101: 2811575076011210.0
Case qj == j - 2: k=31, m=2, j=10, yk=4.611686018427388e+18, qj=8, binStr=11111011: 2811575076011210.0
Case qj == j - 2: k=31, m=3, j=10, yk=4.611686018427388e+18, qj=8, binStr=11110111: 2811575076011210.0
Case qj == j - 2: k=31, m=4, j=10, yk=4.611686018427388e+18, qj=8, binStr=11101111: 2811575076011210.0
Case qj == j - 2: k=31, m=5, j=10, yk=4.611686018427388e+18, qj=8, binStr=11011111: 2811575076011210.0
Case qj == j - 2: k=31, m=6, j=10, yk=4.611686018427388e+18, qj=8, binStr=10111111: 2811575076011210.0
Case qj == j - 2: k=32, m=0, j=5, yk=1.8446744073709552e+19, qj=3, binStr=0111: 2.7328509738828964e+18
Case qj == j - 2: k=32, m=1, j=5, yk=1.8446744073709552e+19, qj=3, binStr=101: 2.7328509738828964e+18
Case qj == j - 2: k=32, m=2, j=5, yk=1.8446744073709552e+19, qj=3, binStr=011: 2.7328509738828964e+18
Case qj == j - 2: k=32, m=0, j=6, yk=1.8446744073709552e+19, qj=4, binStr=01111: 9.109503246276321e+17
Case qj == j - 2: k=32, m=1, j=6, yk=1.8446744073709552e+19, qj=4, binStr=1101: 9.109503246276321e+17
Case qj == j - 2: k=32, m=2, j=6, yk=1.8446744073709552e+19, qj=4, binStr=1011: 9.109503246276321e+17
Case qj == j - 2: k=32, m=3, j=6, yk=1.8446744073709552e+19, qj=4, binStr=0111: 9.109503246276321e+17
Case qj == j - 2: k=32, m=0, j=7, yk=1.8446744073709552e+19, qj=5, binStr=011111: 3.0365010820921075e+17
Case qj == j - 2: k=32, m=1, j=7, yk=1.8446744073709552e+19, qj=5, binStr=11101: 3.0365010820921075e+17
Case qj == j - 2: k=32, m=2, j=7, yk=1.8446744073709552e+19, qj=5, binStr=11011: 3.0365010820921075e+17
Case qj == j - 2: k=32, m=3, j=7, yk=1.8446744073709552e+19, qj=5, binStr=10111: 3.0365010820921075e+17
Case qj == j - 2: k=32, m=4, j=7, yk=1.8446744073709552e+19, qj=5, binStr=01111: 3.0365010820921075e+17
Case qj == j - 2: k=32, m=0, j=8, yk=1.8446744073709552e+19, qj=6, binStr=0111111: 1.0121670273640357e+17
Case qj == j - 2: k=32, m=1, j=8, yk=1.8446744073709552e+19, qj=6, binStr=111101: 1.0121670273640357e+17
Case qj == j - 2: k=32, m=2, j=8, yk=1.8446744073709552e+19, qj=6, binStr=111011: 1.0121670273640357e+17
Case qj == j - 2: k=32, m=3, j=8, yk=1.8446744073709552e+19, qj=6, binStr=110111: 1.0121670273640357e+17
Case qj == j - 2: k=32, m=4, j=8, yk=1.8446744073709552e+19, qj=6, binStr=101111: 1.0121670273640357e+17
Case qj == j - 2: k=32, m=5, j=8, yk=1.8446744073709552e+19, qj=6, binStr=011111: 1.0121670273640357e+17
Case qj == j - 2: k=32, m=0, j=9, yk=1.8446744073709552e+19, qj=7, binStr=01111111: 3.3738900912134524e+16
Case qj == j - 2: k=32, m=1, j=9, yk=1.8446744073709552e+19, qj=7, binStr=1111101: 3.3738900912134524e+16
Case qj == j - 2: k=32, m=2, j=9, yk=1.8446744073709552e+19, qj=7, binStr=1111011: 3.3738900912134524e+16
Case qj == j - 2: k=32, m=3, j=9, yk=1.8446744073709552e+19, qj=7, binStr=1110111: 3.3738900912134524e+16
Case qj == j - 2: k=32, m=4, j=9, yk=1.8446744073709552e+19, qj=7, binStr=1101111: 3.3738900912134524e+16
Case qj == j - 2: k=32, m=5, j=9, yk=1.8446744073709552e+19, qj=7, binStr=1011111: 3.3738900912134524e+16
Case qj == j - 2: k=32, m=6, j=9, yk=1.8446744073709552e+19, qj=7, binStr=0111111: 3.3738900912134524e+16
Case qj == j - 2: k=32, m=0, j=10, yk=1.8446744073709552e+19, qj=8, binStr=011111111: 1.1246300304044842e+16
Case qj == j - 2: k=32, m=1, j=10, yk=1.8446744073709552e+19, qj=8, binStr=11111101: 1.1246300304044842e+16
Case qj == j - 2: k=32, m=2, j=10, yk=1.8446744073709552e+19, qj=8, binStr=11111011: 1.1246300304044842e+16
Case qj == j - 2: k=32, m=3, j=10, yk=1.8446744073709552e+19, qj=8, binStr=11110111: 1.1246300304044842e+16
Case qj == j - 2: k=32, m=4, j=10, yk=1.8446744073709552e+19, qj=8, binStr=11101111: 1.1246300304044842e+16
Case qj == j - 2: k=32, m=5, j=10, yk=1.8446744073709552e+19, qj=8, binStr=11011111: 1.1246300304044842e+16
Case qj == j - 2: k=32, m=6, j=10, yk=1.8446744073709552e+19, qj=8, binStr=10111111: 1.124630030404484e+16
Case qj == j - 2: k=32, m=7, j=10, yk=1.8446744073709552e+19, qj=8, binStr=01111111: 1.124630030404484e+16
Case qj == j - 2: k=32, m=0, j=11, yk=1.8446744073709552e+19, qj=9, binStr=0111111111: 3748766768014947.0
Case qj == j - 2: k=32, m=1, j=11, yk=1.8446744073709552e+19, qj=9, binStr=111111101: 3748766768014947.0
Case qj == j - 2: k=32, m=2, j=11, yk=1.8446744073709552e+19, qj=9, binStr=111111011: 3748766768014947.0
Case qj == j - 2: k=32, m=3, j=11, yk=1.8446744073709552e+19, qj=9, binStr=111110111: 3748766768014947.0
Case qj == j - 2: k=32, m=4, j=11, yk=1.8446744073709552e+19, qj=9, binStr=111101111: 3748766768014947.0
Case qj == j - 2: k=32, m=5, j=11, yk=1.8446744073709552e+19, qj=9, binStr=111011111: 3748766768014947.0
Case qj == j - 2: k=32, m=6, j=11, yk=1.8446744073709552e+19, qj=9, binStr=110111111: 3748766768014947.0
